FOLIO,FECHA,HORA,MINUTO,TIPO,VIOLENCIA,LATITUD,LONGITUD,DISTRITO,CUADRANTE,DIA,MES,ESTACION,AÑO
013528D,2015-01-19,99,99,ROBO A NEGOCIO,NO,28.689492,-106.09441,Villa,18,19,1,Invierno,2015
67657X,2015-01-19,99,99,ROBO A NEGOCIO,NO,28.650872,-106.098879,Diana,31,19,1,Invierno,2015
67380,2015-01-20,99,99,ROBO A NEGOCIO,SI,28.742543,-106.138239,Colón,7,20,1,Invierno,2015
22956SP,2015-01-20,99,99,ROBO A NEGOCIO,NO,28.737743,-106.127251,Colón,8,20,1,Invierno,2015
152682C,2015-01-20,99,99,ROBO A CASA HABITACION,NO,28.674151,-106.115118,Villa,22,20,1,Invierno,2015
145495C,2015-01-20,99,99,ROBO A CASA HABITACION,NO,28.610856,-106.07816,Zapata,74,20,1,Invierno,2015
003198D,2015-01-20,99,99,ROBO A CASA HABITACION,NO,28.637765,-106.08,Ángel,37,20,1,Invierno,2015
23935SP,2015-01-20,99,99,ROBO A CASA HABITACION,NO,28.647916,-106.004063,Morelos,52,20,1,Invierno,2015
55977,2015-01-20,99,99,ROBO A CASA HABITACION,NO,28.808019,-106.172232,Colón,1,20,1,Invierno,2015
18371SP,2015-01-20,99,99,ROBO A NEGOCIO,SI,28.609486,-106.0734,Zapata,74,20,1,Invierno,2015
